sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,RUL
804.9671415301124,785.8462925794959,803.5778736034829,791.7100498907793,784.0557234120563,809.2617754753164,345.85027904652827,809.3567839314746,799.2556657089996,799.8357710392725,420.00410962386076,794.4969484615458,816.4201516013637,366.6003826116396,801.4866745720211,798.3287828621359,795.3396349813175,796.6522466789346,807.9994190194205,793.8756262535957,826.4434334701704,168.67506771855224
798.6173569882882,795.7935467723464,805.6078452636823,794.3981895980303,794.0062497704623,819.0941664047014,444.4505136786132,812.7155509499416,806.2067209755068,811.8839327344808,358.3325157418607,793.2837663206195,810.0981708934263,433.897391039638,796.6291402888196,802.825799504883,784.052969327332,795.96351536758,783.8368939156342,803.615035252061,784.9702967160484,166.4118924617526
806.4768853810069,796.5728548347323,810.8305124317528,807.4729360512326,800.0524369971819,786.0143242618086,444.00730730921487,807.2167206404323,801.7770100093326,825.2693242587362,438.9963772253085,799.7444592900855,793.1184965482228,498.8278722442335,793.8659733645906,797.5130887381646,805.1360010656972,790.4487742065064,789.4631758085364,788.5627379267934,802.5373966149457,140.00131729375883
815.2302985640803,791.9772273077838,810.538020520349,806.1037026543346,800.4698059376474,805.6296923669057,428.22952657705946,788.7094822878277,786.646556412899,794.6913122707967,472.0244794378409,811.7272901925936,822.524358053443,432.3678379698757,796.9753031351187,816.0734557602,794.6729916033809,804.2359906559346,789.321970784208,801.0855970577652,804.6769317176544,184.2742305282195
797.6584662527666,798.38714288334,786.2233063204291,799.7909840603585,795.4993452852076,793.4935743087817,438.78968889342,794.7547973372023,803.8019785100596,795.1056055748178,455.97019777866996,805.4360015459444,809.8176548699159,411.556683474005,796.1182318145877,804.9097495163825,788.3008316428972,820.6252491924314,809.5030759197358,799.6677000935554,810.8578632493935,148.99865663127
797.6586304305082,804.0405085681454,790.6217496008487,801.1732738330878,806.228499323475,795.1287461623531,408.54488866951925,804.8937456122792,806.1058574528382,810.4416087706907,307.92376506967145,796.2938566791389,796.7516861649137,446.1301020478492,801.7041622237549,807.3487778604982,771.2773778671835,789.3246708574572,817.1061337258193,797.9188314272747,800.979831534709,164.76867959725627
815.7921281550739,818.8618590121054,805.1503526720866,812.7766489578843,789.3237957061741,794.0760607576113,350.35981178139053,787.7787219110805,805.5979044793104,806.8189148962631,396.1013894515658,807.7169871064834,775.0059428512643,393.04112245674366,801.6057398104987,806.6288126866741,799.7248509494937,800.2421945667276,798.9555078146253,798.7146248856106,803.080505395041,149.89918650492618
807.6743472915291,801.7457781283184,805.1378595091221,794.0842861116417,798.576205149787,791.3600923032019,369.1391987007839,807.1299843017239,810.8078072555462,818.4670732573603,320.98603568363495,771.5145737936992,822.9094257259075,312.02846852015705,800.0304602015342,811.7347385748533,817.7225159666974,814.1222055541543,798.3117827680999,781.1815095450236,796.0835143257821,139.36798540997853
795.3052561406505,802.5755039072277,805.1504768630605,805.4709738117003,801.202956317119,800.4852162794483,336.31954336028514,797.5967460184187,808.3392215454891,805.8392818532596,348.4090031725055,811.487657003721,786.1042753323641,412.459363175582,804.3693816974635,801.8102155870371,816.6125921454787,799.2035860875428,800.7005216311318,794.5127509225904,802.6912694124511,174.06903878242156
805.4256004358597,799.2555408423383,838.5273149065472,797.9780734756611,805.1443883405875,791.6904988358896,481.6901122667257,796.251791924504,804.5918007922844,796.4070790921294,497.3325186534293,782.602862212219,783.5460125304311,491.525056901076,811.9064627478634,787.0316805204416,795.4290374341373,804.5237179624974,811.6187830260819,800.9284490114112,796.5680772450258,133.80324243760327
